"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 30 18:32:26 GMT 2024","Sun Jun 30 18:32:27 GMT 2024","128","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","shouldNavigateToSettingsPage","shouldNavigateToSettingsPage",""
"passed","Sun Jun 30 18:32:08 GMT 2024","Sun Jun 30 18:32:10 GMT 2024","1167","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateAllFields","updateAllFields",""
"passed","Sun Jun 30 18:32:13 GMT 2024","Sun Jun 30 18:32:14 GMT 2024","1151","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteComment","deleteComment",""
"passed","Sun Jun 30 18:32:06 GMT 2024","Sun Jun 30 18:32:08 GMT 2024","1577","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","addComment","addComment",""
"passed","Sun Jun 30 18:32:24 GMT 2024","Sun Jun 30 18:32:24 GMT 2024","207","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateUsername","updateUsername",""
"passed","Sun Jun 30 18:32:15 GMT 2024","Sun Jun 30 18:32:16 GMT 2024","553","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","followAuthor","followAuthor",""
"passed","Sun Jun 30 18:32:23 GMT 2024","Sun Jun 30 18:32:24 GMT 2024","566","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","followAuthor","followAuthor",""
"passed","Sun Jun 30 18:32:17 GMT 2024","Sun Jun 30 18:32:17 GMT 2024","526","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","likeArticle","likeArticle",""
"passed","Sun Jun 30 18:32:12 GMT 2024","Sun Jun 30 18:32:12 GMT 2024","690","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","likeAnArticle","likeAnArticle",""
"passed","Sun Jun 30 18:32:14 GMT 2024","Sun Jun 30 18:32:14 GMT 2024","249","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","logout","logout",""
"passed","Sun Jun 30 18:32:18 GMT 2024","Sun Jun 30 18:32:19 GMT 2024","364","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updatePassword","updatePassword",""
"passed","Sun Jun 30 18:32:09 GMT 2024","Sun Jun 30 18:32:12 GMT 2024","2464","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteArticle","deleteArticle",""
"passed","Sun Jun 30 18:32:21 GMT 2024","Sun Jun 30 18:32:22 GMT 2024","721","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayFavoritedArticles","displayFavoritedArticles",""
"passed","Sun Jun 30 18:32:19 GMT 2024","Sun Jun 30 18:32:21 GMT 2024","2069","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","updateArticle","updateArticle",""
"passed","Sun Jun 30 18:32:21 GMT 2024","Sun Jun 30 18:32:21 GMT 2024","250","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateProfilePicture","updateProfilePicture",""
"passed","Sun Jun 30 18:32:17 GMT 2024","Sun Jun 30 18:32:18 GMT 2024","586","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerValidNewUser","registerValidNewUser",""
"passed","Sun Jun 30 18:32:15 GMT 2024","Sun Jun 30 18:32:16 GMT 2024","337","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateEmail","updateEmail",""
"passed","Sun Jun 30 18:32:15 GMT 2024","Sun Jun 30 18:32:16 GMT 2024","749","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","filterArticlesByTag","filterArticlesByTag",""
"passed","Sun Jun 30 18:32:13 GMT 2024","Sun Jun 30 18:32:13 GMT 2024","279","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","displayPopularTags","displayPopularTags",""
"passed","Sun Jun 30 18:32:09 GMT 2024","Sun Jun 30 18:32:10 GMT 2024","787","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","displayExpectedArticles","displayExpectedArticles",""
"passed","Sun Jun 30 18:32:24 GMT 2024","Sun Jun 30 18:32:25 GMT 2024","1136","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayFavoritedArticles","displayFavoritedArticles",""
"passed","Sun Jun 30 18:32:21 GMT 2024","Sun Jun 30 18:32:23 GMT 2024","1058","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayExpectedUserArticles","displayExpectedUserArticles",""
"passed","Sun Jun 30 18:32:19 GMT 2024","Sun Jun 30 18:32:20 GMT 2024","837","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerWithExistingEmail","registerWithExistingEmail",""
"passed","Sun Jun 30 18:32:19 GMT 2024","Sun Jun 30 18:32:20 GMT 2024","459","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayAuthorArticles","displayAuthorArticles",""
"passed","Sun Jun 30 18:32:12 GMT 2024","Sun Jun 30 18:32:13 GMT 2024","217","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateBio","updateBio",""
"passed","Sun Jun 30 18:32:16 GMT 2024","Sun Jun 30 18:32:17 GMT 2024","1289","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","testCreateNewArticle","testCreateNewArticle",""
